Province,City,District,Sub-District,Street,Sqm,Rooms,Floor,Year Built,Price,Price per SqM
Ida-Virumaa,Jõhvi vald,Jõhvi linn,,Kaare 17-31,61.6,3,1/5,1968,65000,1055
Harjumaa,Maardu,,,Kellamäe tn 12,32.9,1,5/5,1986,67000,2036
Järvamaa,Paide,Paide linn,,Kastani tn 2-4,244.3,6,,1999,145000,594
Harjumaa,Tallinn,Kesklinn,Kassisaba,Roopa 4,46.9,2,2/4,2011,189000,4030
Pärnumaa,Pärnu,,,Suur-Veski tn 5,80.5,4,2/2,,112000,1391
Harjumaa,Tallinn,Haabersti,,Paldiski mnt 82c-8,56.8,2,3/5,2020,229000,4032
Harjumaa,Tallinn,Kesklinn,Veerenni,Veerenni tn 25,47,2,2/2,1904,95000,2021
Harjumaa,Viimsi vald,Haabneeme,,Heki tee 12/2,65.5,3,4/5,2018,222000,3389
Harjumaa,Tallinn,Põhja-Tallinn,Kalamaja,Tööstuse 47-6,73.5,2,1/3,2024,449900,6121
Tartumaa,Tartu,Tartu linn,Annelinn,Mõisavahe tn 71/1,74.2,4,,2021,199000,2682
Harjumaa,Tallinn,Kesklinn,,Pirita tee 20/4-61,51,2,5/5,2025,302000,5922
Põlvamaa,Räpina vald,Räpina linn,,Aia tn 10,52.4,2,3/3,1980,34500,658
Võrumaa,Võru,,,Koreli,65,3,5/5,1986,79000,1215
Harjumaa,Tallinn,Kesklinn,Kassisaba,Luise tn 24/1-5,22.2,1,2/3,2026,130000,5856
Ida-Virumaa,Narva,,,Kangelaste prospekt 8a,48.2,2,1/5,1972,36000,747
Ida-Virumaa,Kohtla-Järve,Järve,,Olevi tn 16a-42,38.7,2,4/4,1960,11000,284
Ida-Virumaa,Narva,,,Kangelaste prospekt 8a,27.5,1,3/5,1973,15900,578
Harjumaa,Tallinn,Kesklinn,Sadama,Tuukri 58,106.1,4,5/7,1997,300000,2828
Harjumaa,Tallinn,Kesklinn,,Koidu 89,47,2,4/4,1957,225000,4787
Saaremaa,Saaremaa vald,Kuressaare linn,,Niidu tn 9,66.9,3,1/3,1987,110000,1644
Harjumaa,Lääne-Harju vald,Ämari,,Lennu 26,48.8,2,5/5,1975,39650,813
Harjumaa,Tallinn,Kesklinn,Kadriorg,C. R. Jakobsoni tn 4-1,59.2,3,1/1,1940,245000,4139
Tartumaa,Tartu,Tartu linn,Vaksali,Tiigi 61a-18,134.5,4,2/3,2021,590000,4387
Harjumaa,Tallinn,Kesklinn,,Kivimurru tn 14-2,62.9,3,1/3,2023,264000,4197
Harjumaa,Tallinn,Lasnamäe,Väga hubane vaikne koht !,Peterburi tee 74,41,2,1/2,1954,80000,1951
Pärnumaa,Tori vald,Piistaoja,,Oja,40.2,1,1/2,1983,7000,174
Valgamaa,Valga vald,Valga linn,,Tähe 4-14,47.6,2,5/5,1949,22000,462
Tartumaa,Nõo vald,Tõravere,,Observatooriumi tn 11-3,39.1,2,1/3,1981,69000,1765
Harjumaa,Tallinn,Lasnamäe,,Loitsu 10,32.8,1,4/5,1981,83900,2558
Harjumaa,Tallinn,Haabersti,,Paldiski mnt 197,66.2,3,2/5,1976,137000,2069
Tartumaa,Tartu,Tartu linn,Ülejõe,Mäe tn 12,37,2,1/2,1977,55000,1486
